Date,Top 3 ETFs
2006-02,"XLB, XLE, XLU"
2006-03,"XLE, XLF, XLU"
2006-04,"XLE, XLF, XLK"
2006-05,"XLB, XLE, XLF"
2006-06,"XLB, XLE, XLF"
2006-07,"XLB, XLE, XLI"
2006-08,"XLB, XLE, XLF"
2006-09,"XLB, XLF, XLP"
2006-10,"XLB, XLF, XLI"
2006-11,"XLB, XLF, XLY"
2006-12,"XLB, XLE, XLU"
2007-01,"XLF, XLU, XLY"
2007-02,"XLF, XLU, XLY"
2007-03,"XLB, XLU, XLY"
2007-04,"XLB, XLP, XLU"
2007-05,"XLB, XLU, XLV"
2007-06,"XLB, XLK, XLU"
2007-07,"XLB, XLK, XLU"
2007-08,"XLB, XLI, XLK"
2007-09,"XLB, XLE, XLI"
2007-10,"XLB, XLE, XLI"
2007-11,"XLB, XLE, XLK"
2007-12,"XLB, XLE, XLU"
2008-01,"XLB, XLE, XLU"
2008-02,"XLB, XLE, XLU"
2008-03,"XLB, XLE, XLP"
2008-04,"XLB, XLE, XLI"
2008-05,"XLB, XLE, XLI"
2008-06,"XLB, XLE, XLP"
2008-07,"XLB, XLE, XLU"
2008-08,"XLB, XLE, XLP"
2008-09,"XLB, XLE, XLP"
2008-10,"XLP, XLU, XLV"
2008-11,"XLP, XLU, XLV"
2008-12,"XLP, XLU, XLV"
2009-01,"XLP, XLU, XLV"
2009-02,"XLP, XLU, XLV"
2009-03,"XLP, XLU, XLV"
2009-04,"XLK, XLP, XLV"
2009-05,"XLP, XLV, XLY"
2009-06,"XLP, XLV, XLY"
2009-07,"XLP, XLV, XLY"
2009-08,"XLK, XLP, XLY"
2009-09,"XLK, XLP, XLV"
2009-10,"XLK, XLV, XLY"
2009-11,"XLB, XLK, XLY"
2009-12,"XLB, XLK, XLY"
2010-01,"XLB, XLK, XLY"
2010-02,"XLB, XLF, XLY"
2010-03,"XLF, XLI, XLY"
2010-04,"XLF, XLI, XLY"
2010-05,"XLF, XLI, XLY"
2010-06,"XLI, XLK, XLY"
2010-07,"XLF, XLI, XLY"
2010-08,"XLF, XLI, XLY"
2010-09,"XLI, XLU, XLY"
2010-10,"XLI, XLP, XLY"
2010-11,"XLB, XLI, XLY"
2010-12,"XLE, XLI, XLY"
2011-01,"XLE, XLI, XLY"
2011-02,"XLB, XLE, XLI"
2011-03,"XLE, XLI, XLY"
2011-04,"XLB, XLE, XLI"
2011-05,"XLB, XLE, XLI"
2011-06,"XLB, XLE, XLI"
2011-07,"XLB, XLE, XLY"
2011-08,"XLB, XLE, XLY"
2011-09,"XLE, XLV, XLY"
2011-10,"XLP, XLU, XLV"
2011-11,"XLE, XLU, XLY"
2011-12,"XLE, XLP, XLU"
2012-01,"XLP, XLU, XLV"
2012-02,"XLP, XLU, XLV"
2012-03,"XLP, XLU, XLV"
2012-04,"XLK, XLP, XLY"
2012-05,"XLK, XLU, XLY"
2012-06,"XLP, XLU, XLY"
2012-07,"XLK, XLP, XLU"
2012-08,"XLK, XLP, XLU"
2012-09,"XLK, XLV, XLY"
2012-10,"XLF, XLK, XLY"
2012-11,"XLF, XLV, XLY"
2012-12,"XLF, XLV, XLY"
2013-01,"XLF, XLV, XLY"
2013-02,"XLF, XLV, XLY"
2013-03,"XLF, XLV, XLY"
2013-04,"XLP, XLV, XLY"
2013-05,"XLF, XLP, XLV"
2013-06,"XLF, XLV, XLY"
2013-07,"XLF, XLV, XLY"
2013-08,"XLF, XLV, XLY"
2013-09,"XLF, XLV, XLY"
2013-10,"XLF, XLI, XLY"
2013-11,"XLI, XLV, XLY"
2013-12,"XLF, XLV, XLY"
2014-01,"XLI, XLV, XLY"
2014-02,"XLI, XLV, XLY"
2014-03,"XLI, XLV, XLY"
2014-04,"XLF, XLI, XLV"
2014-05,"XLB, XLI, XLV"
2014-06,"XLB, XLI, XLV"
2014-07,"XLB, XLE, XLV"
2014-08,"XLB, XLK, XLV"
2014-09,"XLB, XLK, XLV"
2014-10,"XLB, XLK, XLV"
2014-11,"XLK, XLU, XLV"
2014-12,"XLK, XLU, XLV"
2015-01,"XLK, XLU, XLV"
2015-02,"XLP, XLU, XLV"
2015-03,"XLK, XLP, XLV"
2015-04,"XLP, XLV, XLY"
2015-05,"XLK, XLV, XLY"
2015-06,"XLK, XLV, XLY"
2015-07,"XLK, XLV, XLY"
